date_started,date_ended,declaration_type,disaster_type,disaster_title,days_lasted,county,county_fip,state,state_abbr,division_name,region_name,latitude,longitude
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Mercer County,OH-107,Ohio,OH,East North Central,Midwest,40.5940548,-84.6897495
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Medina County,OH-103,Ohio,OH,East North Central,Midwest,41.080133,-81.9534815
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Cuyahoga County,OH-035,Ohio,OH,East North Central,Midwest,41.433923,-81.67582
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Pickaway County,OH-129,Ohio,OH,East North Central,Midwest,39.687828,-82.9931607
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Allen County,OH-003,Ohio,OH,East North Central,Midwest,40.769946,-84.1435136
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Morrow County,OH-117,Ohio,OH,East North Central,Midwest,40.5303751,-82.8007993
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,La Crosse County,WI-063,Wisconsin,WI,East North Central,Midwest,43.8617023,-91.135302
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Vernon County,WI-123,Wisconsin,WI,East North Central,Midwest,43.5576968,-90.8294002
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Langlade County,WI-067,Wisconsin,WI,East North Central,Midwest,45.220083,-89.0102133
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Walworth County,WI-127,Wisconsin,WI,East North Central,Midwest,42.6202834,-88.556531
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Marathon County,WI-073,Wisconsin,WI,East North Central,Midwest,44.850452,-89.8505012
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Washburn County,WI-129,Wisconsin,WI,East North Central,Midwest,45.9657186,-91.8148946
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Ashland County,WI-003,Wisconsin,WI,East North Central,Midwest,46.9794969,-90.4824892
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Ozaukee County,WI-089,Wisconsin,WI,East North Central,Midwest,43.367713,-87.927309
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Buffalo County,WI-011,Wisconsin,WI,East North Central,Midwest,44.3102354,-91.7538817
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pierce County,WI-093,Wisconsin,WI,East North Central,Midwest,44.7508921,-92.3813621
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Barron County,WI-005,Wisconsin,WI,East North Central,Midwest,45.3607574,-91.776948
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pepin County,WI-091,Wisconsin,WI,East North Central,Midwest,44.6451183,-92.027319
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Dunn County,WI-033,Wisconsin,WI,East North Central,Midwest,44.909416,-91.9099238
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Richland County,WI-103,Wisconsin,WI,East North Central,Midwest,43.4060497,-90.3748354
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Crawford County,WI-023,Wisconsin,WI,East North Central,Midwest,43.2491547,-90.8294002
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Polk County,WI-095,Wisconsin,WI,East North Central,Midwest,45.4259345,-92.3388439
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Trempealeau County,WI-121,Wisconsin,WI,East North Central,Midwest,44.2397592,-91.366216
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Jefferson County,WI-055,Wisconsin,WI,East North Central,Midwest,43.089927,-88.7108964
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Grant County,WI-043,Wisconsin,WI,East North Central,Midwest,42.9397015,-90.6773046
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,St. Croix County,WI-109,Wisconsin,WI,East North Central,Midwest,45.0497844,-92.3875695
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Whiteside County,IL-195,Illinois,IL,East North Central,Midwest,41.7605503,-89.8505012
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Adams County,IL-001,Illinois,IL,East North Central,Midwest,40.0577692,-91.135302
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Carroll County,IL-015,Illinois,IL,East North Central,Midwest,42.0385843,-89.9626799
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Henderson County,IL-071,Illinois,IL,East North Central,Midwest,40.8335548,-90.9438468
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Lake County,IL-097,Illinois,IL,East North Central,Midwest,42.3689363,-87.8271534
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Jo Daviess County,IL-085,Illinois,IL,East North Central,Midwest,42.3148804,-90.2244662
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Mercer County,IL-131,Illinois,IL,East North Central,Midwest,41.1985037,-90.6773046
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,McHenry County,IL-111,Illinois,IL,East North Central,Midwest,42.3039993,-88.4016041
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Rock Island County,IL-161,Illinois,IL,East North Central,Midwest,41.3998209,-90.563609
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pike County,IL-149,Illinois,IL,East North Central,Midwest,39.5662363,-90.8294002
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,King County,WA-033,Washington,WA,Pacific,West,47.5480339,-121.9836029
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,Kitsap County,WA-035,Washington,WA,Pacific,West,47.6476607,-122.6412583
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,Mason County,WA-045,Washington,WA,Pacific,West,47.4251146,-123.1951376
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,Snohomish County,WA-061,Washington,WA,Pacific,West,48.0329979,-121.8339472
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,Pierce County,WA-053,Washington,WA,Pacific,West,47.0675877,-122.1295269
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,Thurston County,WA-067,Washington,WA,Pacific,West,46.8645747,-122.7695986
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Navarro County,TX-349,Texas,TX,West South Central,South,32.0991878,-96.4929797
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Rusk County,TX-401,Texas,TX,West South Central,South,32.1741887,-94.8105955
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Smith County,TX-423,Texas,TX,West South Central,South,32.3352505,-95.3102505
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Terrell County,TX-443,Texas,TX,West South Central,South,30.2348611,-102.1632718
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Freestone County,TX-161,Texas,TX,West South Central,South,31.7534889,-96.1526985
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Leon County,TX-289,Texas,TX,West South Central,South,31.2152685,-95.9832577
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Hale County,TX-189,Texas,TX,West South Central,South,34.1064941,-101.8891721
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Logan County,CO-075,Colorado,CO,Mountain,West,40.7056181,-102.989615
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Denver County,CO-031,Colorado,CO,Mountain,West,39.7616189,-104.9622498
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Yuma County,CO-125,Colorado,CO,Mountain,West,40.1448234,-102.2547919
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Douglas County,CO-035,Colorado,CO,Mountain,West,39.2587106,-104.9388853
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Morgan County,CO-087,Colorado,CO,Mountain,West,40.2989226,-103.7289167
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Otero County,CO-089,Colorado,CO,Mountain,West,37.9397663,-103.6362715
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,El Paso County,CO-041,Colorado,CO,Mountain,West,38.9108325,-104.4723301
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Elbert County,CO-039,Colorado,CO,Mountain,West,39.3537004,-104.1930918
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Phillips County,CO-095,Colorado,CO,Mountain,West,40.5371334,-102.3463875
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Arapahoe County,CO-005,Colorado,CO,Mountain,West,39.62031,-104.332644
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Kiowa County,CO-061,Colorado,CO,Mountain,West,38.3769671,-102.7135121
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pueblo County,CO-101,Colorado,CO,Mountain,West,38.2528534,-104.4723301
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Adams County,CO-001,Colorado,CO,Mountain,West,39.8398269,-104.1930918
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Fremont County,CO-043,Colorado,CO,Mountain,West,38.5306514,-105.5005483
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Prowers County,CO-099,Colorado,CO,Mountain,West,37.8433756,-102.2547919
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Larimer County,CO-069,Colorado,CO,Mountain,West,40.6955572,-105.5943388
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Teller County,CO-119,Colorado,CO,Mountain,West,38.8611579,-105.1726816
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Bent County,CO-011,Colorado,CO,Mountain,West,38.0036339,-103.0817903
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Baca County,CO-009,Colorado,CO,Mountain,West,37.394731,-102.5298028
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Kit Carson County,CO-063,Colorado,CO,Mountain,West,39.3844507,-102.5298028
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Sedgwick County,CO-115,Colorado,CO,Mountain,West,40.8568843,-102.3463875
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Crowley County,CO-025,Colorado,CO,Mountain,West,38.2498631,-103.8216261
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Weld County,CO-123,Colorado,CO,Mountain,West,40.3920718,-104.7158226
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Lincoln County,CO-073,Colorado,CO,Mountain,West,39.0457549,-103.3587288
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Cheyenne County,CO-017,Colorado,CO,Mountain,West,38.8002562,-102.6216211
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Washington County,CO-121,Colorado,CO,Mountain,West,40.063745,-102.989615
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Las Animas County,CO-071,Colorado,CO,Mountain,West,37.2994909,-104.1001326
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Catahoula Parish,LA-025,Louisiana,LA,West South Central,South,31.7053083,-91.9099238
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Ouachita Parish,LA-073,Louisiana,LA,West South Central,South,32.4271852,-92.2236667
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Landry Parish,LA-097,Louisiana,LA,West South Central,South,30.6036535,-92.0665197
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,East Baton Rouge Parish,LA-033,Louisiana,LA,West South Central,South,30.5693593,-91.09694
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Plaquemines Parish,LA-075,Louisiana,LA,West South Central,South,29.3240045,-89.4742177
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Martin Parish,LA-099,Louisiana,LA,West South Central,South,30.2395901,-91.7538817
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Pointe Coupee Parish,LA-077,Louisiana,LA,West South Central,South,30.6102166,-91.5983959
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,East Feliciana Parish,LA-037,Louisiana,LA,West South Central,South,30.8458948,-91.0203224
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Mary Parish,LA-101,Louisiana,LA,West South Central,South,29.502976,-91.443469
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Rapides Parish,LA-079,Louisiana,LA,West South Central,South,31.1461104,-92.539603
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Franklin Parish,LA-041,Louisiana,LA,West South Central,South,32.0737103,-91.5983959
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Tammany Parish,LA-103,Louisiana,LA,West South Central,South,30.4357418,-89.9253233
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Acadia Parish,LA-001,Louisiana,LA,West South Central,South,30.2297347,-92.3813621
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Iberville Parish,LA-047,Louisiana,LA,West South Central,South,30.2899179,-91.4048249
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Bernard Parish,LA-087,Louisiana,LA,West South Central,South,29.879791,-89.3226954
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Terrebonne Parish,LA-109,Louisiana,LA,West South Central,South,29.2299682,-90.7532809
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Iberia Parish,LA-045,Louisiana,LA,West South Central,South,29.9306724,-91.607696
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Richland Parish,LA-083,Louisiana,LA,West South Central,South,32.3887281,-91.7928402
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Tangipahoa Parish,LA-105,Louisiana,LA,West South Central,South,30.6194521,-90.3748354
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Assumption Parish,LA-007,Louisiana,LA,West South Central,South,29.9232544,-91.09694
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Helena Parish,LA-091,Louisiana,LA,West South Central,South,30.8021866,-90.6773046
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Lafayette Parish,LA-055,Louisiana,LA,West South Central,South,30.1895142,-92.027319
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Washington Parish,LA-117,Louisiana,LA,West South Central,South,30.803926,-90.0746767
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Ascension Parish,LA-005,Louisiana,LA,West South Central,South,30.2017295,-90.9438468
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Jefferson Parish,LA-051,Louisiana,LA,West South Central,South,29.6498691,-90.1120696
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Charles Parish,LA-089,Louisiana,LA,West South Central,South,29.9273657,-90.3371889
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Caldwell Parish,LA-021,Louisiana,LA,West South Central,South,32.0669717,-92.0665197
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Livingston Parish,LA-063,Louisiana,LA,West South Central,South,30.4340146,-90.6773046
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. John the Baptist Parish,LA-095,Louisiana,LA,West South Central,South,30.1118331,-90.4879916
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,West Feliciana Parish,LA-125,Louisiana,LA,West South Central,South,30.8423123,-91.4048249
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Avoyelles Parish,LA-009,Louisiana,LA,West South Central,South,30.9711824,-92.0665197
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Lafourche Parish,LA-057,Louisiana,LA,West South Central,South,29.6952295,-90.5257823
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. James Parish,LA-093,Louisiana,LA,West South Central,South,30.0179292,-90.7913227
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,West Baton Rouge Parish,LA-121,Louisiana,LA,West South Central,South,30.4751202,-91.3276422
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Ward 9 Police Jury Ward,,Louisiana,LA,West South Central,South,32.2402558,-92.7160147
